activation,optimizer,epoch,loss,type
DynamicSwish,AdamW,10,0.2485151339506852,Single
DynamicSwish,RAdam,1,0.8561152474629014,Single
DynamicSwish,RAdam,2,0.7083326836113808,Single
DynamicSwish,RAdam,3,0.6504637040984302,Single
DynamicSwish,RAdam,4,0.5472925888310076,Single
DynamicSwish,RAdam,5,0.42286797711526186,Single
DynamicSwish,RAdam,6,0.3914572890213887,Single
DynamicSwish,RAdam,7,0.3387660895335478,Single
DynamicSwish,RAdam,8,0.2781197954780039,Single
DynamicSwish,RAdam,9,0.20999548952818803,Single
DynamicSwish,RAdam,10,0.2299214763120018,Single
DynamicSwish,Sophia,1,0.8395688207968347,Single
DynamicSwish,Sophia,2,0.7358136895799069,Single
DynamicSwish,Sophia,3,0.6561306786646548,Single
DynamicSwish,Sophia,4,0.5671092843712251,Single
DynamicSwish,Sophia,5,0.4236068449918126,Single
DynamicSwish,Sophia,6,0.34357776212090235,Single
DynamicSwish,Sophia,7,0.35003132095073913,Single
DynamicSwish,Sophia,8,0.27274082700206026,Single
DynamicSwish,Sophia,9,0.2584361379638656,Single
DynamicSwish,Sophia,10,0.19500516827157405,Single
DynamicSwish,LAMB,1,0.8914358595697786,Single
DynamicSwish,LAMB,2,0.7033072332533585,Single
DynamicSwish,LAMB,3,0.599169222259671,Single
DynamicSwish,LAMB,4,0.5612686530130744,Single
DynamicSwish,LAMB,5,0.43626654515926155,Single
DynamicSwish,LAMB,6,0.3238526017998043,Single
DynamicSwish,LAMB,7,0.38890790433068223,Single
DynamicSwish,LAMB,8,0.3070739014957734,Single
DynamicSwish,LAMB,9,0.26871586938308817,Single
DynamicSwish,LAMB,10,0.2603346586356893,Single
AdaptiveGELUMish,SGD,1,0.90585357090364,Single
AdaptiveGELUMish,SGD,2,0.7067858391746134,Single
AdaptiveGELUMish,SGD,3,0.5879583522956697,Single
AdaptiveGELUMish,SGD,4,0.4675310034025092,Single
AdaptiveGELUMish,SGD,5,0.4240234852578272,Single
AdaptiveGELUMish,SGD,6,0.40234124692720313,Single
AdaptiveGELUMish,SGD,7,0.3576165988414489,Single
AdaptiveGELUMish,SGD,8,0.2516288834205486,Single
